row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
1,2019-04-14 15:27:05.660821,0.000003576,9,1.000000000e-04,2.577591063e-02,2.577591063e-02,2.604267653e-02,5.975222606e-02
2,2019-04-14 15:27:19.578519,13.917864323,19,1.000000000e-04,1.741656968e-02,1.741656968e-02,1.747399215e-02,1.217513164e-02
3,2019-04-14 15:27:33.500918,13.922399998,29,1.000000000e-04,1.437168885e-02,1.437168885e-02,1.214970266e-02,3.693505691e-03
4,2019-04-14 15:27:47.441767,13.940840483,39,1.000000000e-04,1.338754389e-02,1.338754389e-02,1.029395452e-02,2.332005929e-03
5,2019-04-14 15:28:01.416737,13.974972248,49,1.000000000e-04,1.298372541e-02,1.298372541e-02,9.531817492e-03,1.818509970e-03
6,2019-04-14 15:28:15.386609,13.969734430,59,1.000000000e-04,1.502614757e-02,1.502614757e-02,1.032339958e-02,2.257113263e-03
7,2019-04-14 15:28:29.337831,13.951206684,69,1.000000000e-04,1.146931709e-02,1.146931709e-02,7.967282692e-03,1.384547289e-03
8,2019-04-14 15:28:43.347584,14.009755611,79,1.000000000e-04,1.320540290e-02,1.320540290e-02,8.110453561e-03,7.838099205e-04
9,2019-04-14 15:28:57.391053,14.043498516,89,1.000000000e-04,9.766318975e-03,9.766318975e-03,6.331021106e-03,8.899664448e-04
10,2019-04-14 15:29:11.423265,14.032318830,99,1.000000000e-04,1.224068464e-02,1.224068464e-02,7.701697713e-03,1.149541978e-03
11,2019-04-14 15:29:25.460720,14.037359476,109,1.000000000e-04,1.118808500e-02,1.118808500e-02,7.378365030e-03,1.154896826e-03
12,2019-04-14 15:29:39.516130,14.055555344,119,1.000000000e-04,1.073273998e-02,1.073273998e-02,6.897316081e-03,1.247148088e-03
13,2019-04-14 15:29:53.517078,14.000878811,129,1.000000000e-04,1.018387163e-02,1.018387163e-02,6.311442005e-03,1.109251479e-03
14,2019-04-14 15:30:07.580409,14.063298941,139,1.000000000e-04,1.176511087e-02,1.176511087e-02,7.145300996e-03,8.984567132e-04
15,2019-04-14 15:30:21.648465,14.067991257,149,1.000000000e-04,1.176043008e-02,1.176043008e-02,7.398479851e-03,2.241357777e-03
16,2019-04-14 15:30:35.697879,14.049358845,159,1.000000000e-04,1.271230951e-02,1.271230951e-02,7.884921180e-03,2.462813316e-03
17,2019-04-14 15:30:49.787354,14.089619398,169,1.000000000e-04,1.294949395e-02,1.294949395e-02,7.822148874e-03,2.041803254e-03
18,2019-04-14 15:31:03.891862,14.104516029,179,1.000000000e-04,1.478377203e-02,1.478377203e-02,8.636205131e-03,1.704572648e-03
19,2019-04-14 15:31:17.969341,14.077413559,189,1.000000000e-04,1.323916796e-02,1.323916796e-02,7.939903857e-03,1.589676196e-03
20,2019-04-14 15:31:32.046185,14.076789856,199,1.000000000e-04,1.018975554e-02,1.018975554e-02,6.399931107e-03,1.326688495e-03
21,2019-04-14 15:31:46.125050,14.078951597,209,1.000000000e-04,1.272312580e-02,1.272312580e-02,7.895072363e-03,1.095107471e-03
22,2019-04-14 15:32:00.208639,14.083507061,219,1.000000000e-04,1.382756322e-02,1.382756322e-02,8.174208971e-03,8.061022701e-04
23,2019-04-14 15:32:14.267276,14.058708191,229,1.000000000e-04,1.250222488e-02,1.250222488e-02,7.732904376e-03,2.012895909e-03
24,2019-04-14 15:32:28.394020,14.126759529,239,1.000000000e-04,1.120859007e-02,1.120859007e-02,6.819723640e-03,1.627505373e-03
25,2019-04-14 15:32:42.466631,14.072589397,249,1.000000000e-04,1.266207164e-02,1.266207164e-02,7.646150095e-03,2.145839378e-03
26,2019-04-14 15:32:56.527214,14.060504675,259,1.000000000e-04,1.167314718e-02,1.167314718e-02,7.006946020e-03,1.575510518e-03
27,2019-04-14 15:33:10.635532,14.108311892,269,1.000000000e-04,1.264173505e-02,1.264173505e-02,7.492991025e-03,2.268614568e-03
28,2019-04-14 15:33:24.731310,14.095809698,279,1.000000000e-04,1.080014077e-02,1.080014077e-02,6.410132558e-03,1.922998403e-03
29,2019-04-14 15:33:38.828442,14.097061396,289,1.000000000e-04,1.091770725e-02,1.091770725e-02,6.322987704e-03,9.415014822e-04
30,2019-04-14 15:33:52.906050,14.077604771,299,1.000000000e-04,1.123112948e-02,1.123112948e-02,6.754662097e-03,1.131435245e-03
31,2019-04-14 15:34:06.975653,14.069605589,309,1.000000000e-04,1.301329033e-02,1.301329033e-02,7.477199240e-03,9.978588496e-04
32,2019-04-14 15:34:21.048798,14.073157549,319,1.000000000e-04,1.010898631e-02,1.010898631e-02,6.055220403e-03,8.569787227e-04
