row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
1,2019-04-18 15:38:07.912867,0.000011683,9,1.000000000e-04,2.615155922e-02,2.615155922e-02,2.652278896e-02,5.519108288e-02,2.398470070e-02,3.439350035e-02
2,2019-04-18 15:38:21.907187,13.994469404,19,1.000000000e-04,1.820817571e-02,1.820817571e-02,1.745289639e-02,1.373650839e-02,3.715170606e-03,1.324456069e-02
3,2019-04-18 15:38:35.920776,14.013615131,29,1.000000000e-04,1.454944857e-02,1.454944857e-02,1.181706036e-02,1.026570657e-02,2.691451972e-03,8.782721311e-03
4,2019-04-18 15:38:49.958624,14.037774563,39,1.000000000e-04,1.427532919e-02,1.427532919e-02,1.073429892e-02,7.959372690e-03,2.966770632e-03,9.136221791e-03
5,2019-04-18 15:39:04.043629,14.085106611,49,1.000000000e-04,1.417809166e-02,1.417809166e-02,1.028130637e-02,5.797636486e-03,1.838954145e-03,6.548680644e-03
6,2019-04-18 15:39:18.137571,14.093886614,59,1.000000000e-04,1.526814708e-02,1.526814708e-02,9.934414318e-03,5.063911900e-03,1.478895184e-03,6.493023410e-03
7,2019-04-18 15:39:32.217774,14.080180883,69,1.000000000e-04,1.193702621e-02,1.193702621e-02,8.185428847e-03,4.602845141e-03,1.072438464e-03,6.221249420e-03
8,2019-04-18 15:39:46.319391,14.101643324,79,1.000000000e-04,1.353872865e-02,1.353872865e-02,8.776354790e-03,5.042894033e-03,2.372199217e-03,5.428322800e-03
9,2019-04-18 15:40:00.432292,14.112833500,89,1.000000000e-04,1.046130648e-02,1.046130648e-02,7.485111244e-03,5.435726396e-03,8.521811731e-04,7.652455429e-03
10,2019-04-18 15:40:14.562013,14.129675865,99,1.000000000e-04,1.257413570e-02,1.257413570e-02,8.079618821e-03,4.174417828e-03,1.571137851e-03,7.830417249e-03
11,2019-04-18 15:40:28.718831,14.156921387,109,1.000000000e-04,1.146887504e-02,1.146887504e-02,7.772935694e-03,5.367805087e-03,4.206501119e-03,8.154955180e-03
12,2019-04-18 15:40:42.907087,14.188098431,119,1.000000000e-04,1.076161596e-02,1.076161596e-02,6.643863954e-03,4.228355445e-03,2.832026267e-03,6.401747977e-03
13,2019-04-18 15:40:57.067708,14.160629511,129,1.000000000e-04,1.014859187e-02,1.014859187e-02,5.960629415e-03,3.227060742e-03,1.114836657e-03,6.221224926e-03
14,2019-04-18 15:41:11.209700,14.142135620,139,1.000000000e-04,1.256546010e-02,1.256546010e-02,8.562080609e-03,6.978363125e-03,3.030497427e-03,6.710091513e-03
15,2019-04-18 15:41:25.343689,14.133857489,149,1.000000000e-04,1.234177998e-02,1.234177998e-02,8.151911153e-03,5.660655396e-03,2.183142747e-03,8.639222709e-03
16,2019-04-18 15:41:39.554028,14.210310221,159,1.000000000e-04,1.287944661e-02,1.287944661e-02,7.848748704e-03,4.988870537e-03,9.984874618e-04,7.232923154e-03
17,2019-04-18 15:41:53.794876,14.240852118,169,1.000000000e-04,1.311492072e-02,1.311492072e-02,7.732569240e-03,2.766875562e-03,6.257368354e-04,5.966770370e-03
18,2019-04-18 15:42:07.952664,14.157788038,179,1.000000000e-04,1.517771096e-02,1.517771096e-02,8.943213522e-03,4.628581053e-03,2.641093642e-03,7.162324153e-03
19,2019-04-18 15:42:22.162656,14.210019827,189,1.000000000e-04,1.311640693e-02,1.311640693e-02,7.701213891e-03,5.109773041e-03,2.547297959e-03,7.555621862e-03
20,2019-04-18 15:42:36.342886,14.180301428,199,1.000000000e-04,1.017731554e-02,1.017731554e-02,6.204618467e-03,3.640872007e-03,1.105390009e-03,6.543391244e-03
21,2019-04-18 15:42:50.507327,14.164461851,209,1.000000000e-04,1.270098500e-02,1.270098500e-02,7.561468240e-03,2.580993425e-03,9.229430143e-04,8.092363179e-03
22,2019-04-18 15:43:04.719116,14.211649418,219,1.000000000e-04,1.389024672e-02,1.389024672e-02,8.033749927e-03,2.825232618e-03,2.180877837e-03,8.272643387e-03
23,2019-04-18 15:43:18.908934,14.189935207,229,1.000000000e-04,1.260291273e-02,1.260291273e-02,7.493437198e-03,4.294328170e-03,4.460110050e-03,7.138713030e-03
24,2019-04-18 15:43:33.157272,14.248337746,239,1.000000000e-04,1.145541817e-02,1.145541817e-02,7.176889991e-03,4.351934721e-03,3.650776902e-03,8.758626971e-03
25,2019-04-18 15:43:47.378567,14.221187830,249,1.000000000e-04,1.297003878e-02,1.297003878e-02,7.846453227e-03,3.514198924e-03,5.067709356e-03,1.017724583e-02
26,2019-04-18 15:44:01.607341,14.228852272,259,1.000000000e-04,1.193325338e-02,1.193325338e-02,7.341181766e-03,3.855899279e-03,2.906378487e-03,7.695842674e-03
27,2019-04-18 15:44:15.834038,14.226642609,269,1.000000000e-04,1.270309198e-02,1.270309198e-02,7.349119964e-03,3.287468350e-03,5.170943798e-03,6.473237509e-03
28,2019-04-18 15:44:30.118596,14.284531832,279,1.000000000e-04,1.111399848e-02,1.111399848e-02,6.573477061e-03,2.738271933e-03,5.243594758e-03,7.000236912e-03
29,2019-04-18 15:44:44.329484,14.210975885,289,1.000000000e-04,1.088839294e-02,1.088839294e-02,6.424459722e-03,2.228816971e-03,4.457100923e-03,6.790257106e-03
30,2019-04-18 15:44:58.514752,14.185201645,299,1.000000000e-04,1.120413435e-02,1.120413435e-02,6.791307405e-03,2.117484040e-03,4.625136126e-03,6.568038138e-03
31,2019-04-18 15:45:12.751879,14.237136126,309,1.000000000e-04,1.313734688e-02,1.313734688e-02,7.833083952e-03,2.075141482e-03,5.261583696e-03,7.719943253e-03
32,2019-04-18 15:45:26.951322,14.199429512,319,1.000000000e-04,1.013154141e-02,1.013154141e-02,6.152502960e-03,2.131955163e-03,4.624664551e-03,5.673341593e-03
33,2019-04-18 15:45:41.186164,14.234886885,329,1.000000000e-04,1.066946550e-02,1.066946550e-02,6.507210713e-03,2.616964059e-03,5.117512308e-03,7.109516673e-03
34,2019-04-18 15:45:55.391111,14.204928160,339,1.000000000e-04,1.228452763e-02,1.228452763e-02,7.484195055e-03,2.375178272e-03,6.568738585e-03,8.780487394e-03
35,2019-04-18 15:46:09.656908,14.265845299,349,1.000000000e-04,9.867545031e-03,9.867545031e-03,6.159756356e-03,2.312836447e-03,4.297468718e-03,7.107763365e-03
36,2019-04-18 15:46:23.957095,14.300093889,359,1.000000000e-04,1.113326629e-02,1.113326629e-02,6.693174853e-03,2.479292639e-03,4.164351872e-03,7.518392010e-03
37,2019-04-18 15:46:38.204708,14.247618437,369,1.000000000e-04,1.159803392e-02,1.159803392e-02,6.741220737e-03,1.903994853e-03,4.322469770e-03,7.756103948e-03
38,2019-04-18 15:46:52.396478,14.191794395,379,1.000000000e-04,1.066702879e-02,1.066702879e-02,6.463092333e-03,2.831324801e-03,5.963739520e-03,7.479398744e-03
39,2019-04-18 15:47:06.595467,14.198925972,389,1.000000000e-04,1.054272151e-02,1.054272151e-02,6.423698552e-03,3.320358845e-03,6.028007716e-03,7.100071339e-03
40,2019-04-18 15:47:20.953597,14.358126402,399,1.000000000e-04,9.967545280e-03,9.967545280e-03,6.009850139e-03,2.067836025e-03,4.600332817e-03,7.114559645e-03
41,2019-04-18 15:47:35.172245,14.218732357,409,1.000000000e-04,1.166672828e-02,1.166672828e-02,7.204572670e-03,2.248587273e-03,3.481507802e-03,9.798393771e-03
42,2019-04-18 15:47:49.364315,14.191987991,419,1.000000000e-04,1.221174523e-02,1.221174523e-02,7.493290119e-03,3.161021206e-03,4.848340806e-03,8.680263162e-03
43,2019-04-18 15:48:03.565689,14.201396704,429,1.000000000e-04,1.087249462e-02,1.087249462e-02,6.646513380e-03,3.042641410e-03,5.578287155e-03,6.766172638e-03
44,2019-04-18 15:48:17.780460,14.214809656,439,1.000000000e-04,1.350715179e-02,1.350715179e-02,7.821579091e-03,2.058443264e-03,4.784129094e-03,7.579131098e-03
45,2019-04-18 15:48:32.006896,14.226387501,449,1.000000000e-04,1.067120004e-02,1.067120004e-02,6.394971767e-03,1.851186645e-03,3.698125458e-03,7.654722407e-03
46,2019-04-18 15:48:46.206811,14.199877262,459,1.000000000e-04,1.069141636e-02,1.069141636e-02,6.493020803e-03,1.714805665e-03,3.870158107e-03,6.007725187e-03
47,2019-04-18 15:49:00.549186,14.342418909,469,1.000000000e-04,1.033674991e-02,1.033674991e-02,6.139048981e-03,1.983845240e-03,3.656860138e-03,6.341247540e-03
48,2019-04-18 15:49:14.728318,14.179209948,479,1.000000000e-04,1.143688778e-02,1.143688778e-02,6.516933301e-03,1.754525001e-03,3.571471293e-03,7.368825469e-03
49,2019-04-18 15:49:28.879605,14.151175976,489,1.000000000e-04,1.239050580e-02,1.239050580e-02,7.277919212e-03,1.736189995e-03,4.036687152e-03,7.796450565e-03
50,2019-04-18 15:49:43.089091,14.209581614,499,1.000000000e-04,1.040814836e-02,1.040814836e-02,6.277582934e-03,1.680716209e-03,3.317839466e-03,6.255031889e-03
51,2019-04-18 15:49:57.356450,14.267243862,509,1.000000000e-04,1.056340756e-02,1.056340756e-02,6.285872962e-03,1.787652168e-03,4.038264253e-03,7.234766195e-03
52,2019-04-18 15:50:11.559077,14.202660799,519,1.000000000e-04,1.105716997e-02,1.105716997e-02,6.547336094e-03,1.665556442e-03,3.244778770e-03,7.515069051e-03
53,2019-04-18 15:50:25.758109,14.198996067,529,1.000000000e-04,1.163896392e-02,1.163896392e-02,6.723013567e-03,1.990396623e-03,3.749112575e-03,7.171593420e-03
54,2019-04-18 15:50:39.969049,14.211014509,539,1.000000000e-04,1.385938060e-02,1.385938060e-02,7.967421040e-03,1.812104724e-03,4.064527829e-03,8.680611569e-03
55,2019-04-18 15:50:54.191856,14.222794771,549,1.000000000e-04,1.096315067e-02,1.096315067e-02,6.518878322e-03,1.837495831e-03,4.017532780e-03,8.169909427e-03
56,2019-04-18 15:51:08.391480,14.199559450,559,1.000000000e-04,1.211343091e-02,1.211343091e-02,6.904256297e-03,1.795111445e-03,3.802973102e-03,7.162879221e-03
57,2019-04-18 15:51:22.613867,14.222475767,569,1.000000000e-04,1.308945380e-02,1.308945380e-02,7.482504332e-03,1.741606789e-03,3.100509639e-03,6.954469485e-03
58,2019-04-18 15:51:36.901904,14.287991762,579,1.000000000e-04,1.158151370e-02,1.158151370e-02,6.711097108e-03,1.654295181e-03,3.323689546e-03,6.577799981e-03
59,2019-04-18 15:51:51.078240,14.176283836,589,1.000000000e-04,1.185273076e-02,1.185273076e-02,6.858109240e-03,1.641773182e-03,3.548359149e-03,6.476350408e-03
60,2019-04-18 15:52:05.291800,14.213578224,599,1.000000000e-04,1.143666613e-02,1.143666613e-02,6.583993556e-03,1.410464809e-03,2.933956310e-03,6.380252168e-03
61,2019-04-18 15:52:19.536591,14.244898558,609,1.000000000e-04,1.190306298e-02,1.190306298e-02,7.266047504e-03,1.657566766e-03,3.684690874e-03,7.180879777e-03
62,2019-04-18 15:52:33.728415,14.191707134,619,1.000000000e-04,1.196053028e-02,1.196053028e-02,6.912495638e-03,1.358437759e-03,3.138443292e-03,5.771010672e-03
63,2019-04-18 15:52:47.959752,14.231302738,629,1.000000000e-04,1.167112207e-02,1.167112207e-02,6.738498178e-03,1.339962176e-03,2.382397396e-03,7.503614342e-03
64,2019-04-18 15:53:02.174843,14.215205669,639,1.000000000e-04,1.288917633e-02,1.288917633e-02,7.546183141e-03,1.863868174e-03,3.498895909e-03,9.041914064e-03
