2019-04-15T03:17:48.504 ,CyclicGen_train ,<module> ,INFO ,train_dir: ./train_dir
2019-04-15T03:17:48.504 ,CyclicGen_train ,<module> ,INFO ,subset: train
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,pretrained_model_checkpoint_path: None
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,max_steps: None
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,max_epochs: 5
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,batch_size: 8
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,training_data_step: 1
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,model_size: large
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,dataset: ucf101_256
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,stage: s1s2
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,s1_steps: None
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,logging_interval: 10
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,checkpoint_interval: None
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,save_summary: False
2019-04-15T03:17:48.505 ,CyclicGen_train ,<module> ,INFO ,graph_level_seed: 0
2019-04-15T03:17:48.506 ,CyclicGen_train ,<module> ,INFO ,coef_cycle_consistency_loss: 1.0
2019-04-15T03:17:48.506 ,CyclicGen_train ,<module> ,INFO ,coef_motion_linearity_loss: 0.0
2019-04-15T03:17:48.506 ,CyclicGen_train ,<module> ,INFO ,crop_size: 128
2019-04-15T03:17:48.506 ,CyclicGen_train ,<module> ,INFO ,Output_directory: ./train_dir/2019-04-15T111748
