2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,train_dir: ./train_dir
2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,task: train_test_generate
2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,pretrained_model_checkpoint_path: ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,batch_size: 8
2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,training_data_step: 1
2019-04-22T00:21:12.292 ,CyclicGen_main ,<module> ,INFO ,model_size: large
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,dataset_train: ucf101_256
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,dataset_test: ucf101
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,stage: s1s2
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,max_steps: None
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,max_epochs: 10
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,s1_steps: None
2019-04-22T00:21:12.293 ,CyclicGen_main ,<module> ,INFO ,s1_epochs: 5
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,crop_size: 128
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,coef_loss_c: 1.0
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,coef_loss_m: 0.1
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,coef_loss_s: 0.0
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,coef_loss_t: 0.0
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,coef_loss_e: 1.0
2019-04-22T00:21:12.294 ,CyclicGen_main ,<module> ,INFO ,strategy: original_cycle_gen
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,logging_interval: 10
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,checkpoint_interval: None
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,save_summary: False
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,graph_level_seed: 0
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,logging_level: info
2019-04-22T00:21:12.295 ,CyclicGen_main ,<module> ,INFO ,Output_directory: ./train_dir/2019-04-22T082112
2019-04-22T00:21:44.136 ,tf_logging ,info ,INFO ,Restoring parameters from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-22T00:21:45.566 ,CyclicGen_main ,train ,INFO ,2019-04-22T082145: Pre-trained model restored from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-22T00:21:46.286 ,tf_logging ,info ,INFO ,Restoring parameters from hed_model/new-model.ckpt
2019-04-22T00:21:47.103 ,CyclicGen_main ,train ,INFO ,data_size: 22461
2019-04-22T00:21:47.103 ,CyclicGen_main ,train ,INFO ,num_steps_per_epoch: 2807
2019-04-22T00:21:47.103 ,CyclicGen_main ,train ,INFO ,max_steps: 28070
2019-04-22T00:21:47.103 ,CyclicGen_main ,train ,INFO ,s1_steps: 14035
2019-04-22T00:22:29.975 ,CyclicGen_main ,train ,INFO ,Epoch Number: 5
2019-04-22T01:31:47.221 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-22T082112/model.ckpt-16841
2019-04-22T01:31:48.293 ,CyclicGen_main ,train ,INFO ,Epoch Number: 6
2019-04-22T02:40:52.759 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-22T082112/model.ckpt-19648
2019-04-22T02:40:53.802 ,CyclicGen_main ,train ,INFO ,Epoch Number: 7
2019-04-22T03:49:58.363 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-22T082112/model.ckpt-22455
2019-04-22T03:49:59.411 ,CyclicGen_main ,train ,INFO ,Epoch Number: 8
2019-04-22T04:59:06.804 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-22T082112/model.ckpt-25262
2019-04-22T04:59:07.857 ,CyclicGen_main ,train ,INFO ,Epoch Number: 9
2019-04-22T06:08:16.055 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-22T082112/model.ckpt-28069
2019-04-22T06:08:21.194 ,tf_logging ,info ,INFO ,Restoring parameters from ./train_dir/2019-04-22T082112/model.ckpt-28069
2019-04-22T06:08:21.318 ,CyclicGen_main ,test ,INFO ,Pre-trained model restored from ./train_dir/2019-04-22T082112/model.ckpt-28069
2019-04-22T06:08:21.319 ,CyclicGen_main ,test ,INFO ,data_size: 379
2019-04-22T06:08:21.320 ,CyclicGen_main ,test ,INFO ,id: 0 | UCF_index: 1
2019-04-22T06:08:24.386 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.386 ,CyclicGen_main ,test ,INFO ,id: 1 | UCF_index: 1001
2019-04-22T06:08:24.461 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1001/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.462 ,CyclicGen_main ,test ,INFO ,id: 2 | UCF_index: 101
2019-04-22T06:08:24.530 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/101/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.531 ,CyclicGen_main ,test ,INFO ,id: 3 | UCF_index: 1011
2019-04-22T06:08:24.591 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1011/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.591 ,CyclicGen_main ,test ,INFO ,id: 4 | UCF_index: 1021
2019-04-22T06:08:24.668 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1021/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.668 ,CyclicGen_main ,test ,INFO ,id: 5 | UCF_index: 1031
2019-04-22T06:08:24.738 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1031/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.738 ,CyclicGen_main ,test ,INFO ,id: 6 | UCF_index: 1041
2019-04-22T06:08:24.806 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1041/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.806 ,CyclicGen_main ,test ,INFO ,id: 7 | UCF_index: 1051
2019-04-22T06:08:24.863 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1051/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.863 ,CyclicGen_main ,test ,INFO ,id: 8 | UCF_index: 1061
2019-04-22T06:08:24.931 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1061/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:24.932 ,CyclicGen_main ,test ,INFO ,id: 9 | UCF_index: 1071
2019-04-22T06:08:25.003 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1071/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:25.003 ,CyclicGen_main ,test ,INFO ,id: 10 | UCF_index: 1081
2019-04-22T06:08:25.059 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1081/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:25.059 ,CyclicGen_main ,test ,INFO ,id: 11 | UCF_index: 1091
2019-04-22T06:08:25.127 ,CyclicGen_main ,test ,INFO ,Generated image was saved at: ucf101_interp_ours/1091/frame_01_2019-04-22T082112_model.ckpt-28069.png
2019-04-22T06:08:25.127 ,CyclicGen_main ,test ,INFO ,id: 12 | UCF_index: 11
