index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val,strategy,coef_loss_e,coef_loss_t,coef_loss_m,s1_epochs,max_epochs,model_description
0,1271,2019-04-17T191452,0.0,0.9385393259999999,29.656951899999996,0.962247849,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
1,1931,2019-04-22T082112,28069.0,0.92739743,30.318962100000004,0.982718885,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
2,1241,2019-04-18T233637,14034.0,0.978295028,31.72447395,0.989661872,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
3,2701,2019-04-19T174028,14034.0,0.992421329,40.71229172,0.99861002,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
4,1151,2019-04-20T012234,28069.0,0.9382188920000001,31.64333916,0.96563369,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
5,1061,2019-04-21T092001,28069.0,0.937126637,30.09669304,0.9827139970000001,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
6,111,2019-04-18T233637,14034.0,0.963720143,35.80413437,0.986580372,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
7,2941,2019-04-22T082112,28069.0,0.993042648,42.16107941,0.998618543,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
8,631,2019-04-23T083858,14034.0,0.982510805,39.77784348,0.994853735,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
9,251,2019-04-20T215827,28069.0,0.993156433,40.96395874,0.998710454,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
10,711,2019-04-19T174028,14034.0,0.935514987,30.55767822,0.9688318370000001,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
11,1741,2019-04-21T092001,28069.0,0.959409058,34.96815872,0.966765344,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
12,671,2019-04-22T082112,28069.0,0.859623134,23.227315899999997,0.8486699459999999,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
13,841,2019-04-21T224636,28069.0,0.922407091,32.00435638,0.9740245940000001,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
14,2711,2019-04-21T224636,28069.0,0.9928763509999999,47.85569763,0.998066485,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
